,Concurso,Local,Data do Sorteio,1º número do Sorteio,2º número do Sorteio,3º número do Sorteio,4º número do Sorteio,5º número do Sorteio,6º número do Sorteio,7º número do Sorteio,Mês da Sorte,Ganhadores Faixa 1,Ganhadores Faixa 2,Ganhadores Faixa 3,Ganhadores Faixa 4,Ganhadores Faixa 5,Rateio Faixa 1,Rateio Faixa 2,Rateio Faixa 3,Rateio Faixa 4,Rateio Faixa 5,Cidade,Valor Arrecadado,Estimativa para o próximo concurso,Valor Acumulado Próximo Concurso,Acumulado,Sorteio Especial,Observação
,37,SÃO PAULO SP,14/08/2018,002,007,012,016,018,022,023,1,2,210,6984,91231,206448,105070838,154924,2000,400,200,([SETE QUEDAS][MS][INDAIATUBA][SP]),569037200,50000000,000,Não,Não
,38,SÃO PAULO SP,16/08/2018,008,015,017,018,026,029,030,7,0,113,4353,56796,154846,000,249498,2000,400,200,(),453634200,120000000,65784246,Sim,Não
,39,CORIBE BA,18/08/2018,004,005,006,009,013,025,030,3,2,180,5920,71800,221826,65464921,155109,2000,400,200,([CAPÃO DA CANOA][RS][PALMAS][TO]),502604400,50000000,000,Não,Não
,40,SÃO PAULO SP,21/08/2018,002,010,012,014,019,021,027,9,2,213,5909,67154,237819,26740522,153725,2000,400,200,([CAMPO GRANDE][MS][NOVA FRIBURGO][RJ]),450730400,45000000,000,Não,Não
,41,SÃO PAULO SP,23/08/2018,007,012,023,025,027,030,031,12,1,122,4717,59217,153773,58272679,204705,2000,400,200,([LAURO DE FREITAS][BA]),421689200,50000000,000,Não,Não
,42,ITABELA BA,25/08/2018,006,011,014,016,017,029,031,6,0,75,3232,44555,136430,000,344288,2000,400,200,(),402617800,100000000,60250361,Sim,Não
,43,SÃO PAULO SP,28/08/2018,004,007,017,018,027,028,031,4,1,145,4770,58528,188443,119576344,175348,2000,400,200,([MARINGÁ][PR]),442252400,50000000,000,Não,Não
,44,SÃO PAULO SP,30/08/2018,007,009,015,023,026,030,031,6,0,145,4151,50510,131092,000,163610,2000,400,200,(),386842000,100000000,55354724,Sim,Não
,45,SÃO JOSÉ DO CEDRO SC,01/09/2018,002,005,007,012,015,029,030,9,2,151,5380,65854,245816,52145552,138892,2000,400,200,([VILA VELHA][ES][BELO HORIZONTE][MG]),429384200,50000000,000,Não,Não
,46,SÃO PAULO SP,04/09/2018,001,004,005,008,010,016,030,8,0,123,4490,53357,189424,000,186560,2000,400,200,(),409414400,100000000,53542593,Sim,Não
,47,SÃO PAULO SP,06/09/2018,005,007,013,015,016,020,022,9,0,118,4437,58493,240115,000,176673,2000,400,200,(),414234000,130000000,102186490,Sim,Não
,48,SÃO BENTO DO SUL SC,08/09/2018,006,008,010,017,023,029,031,4,0,87,2944,36664,108816,000,185351,2000,400,200,(),274756000,180000000,139812583,Sim,Não
,49,SÃO PAULO SP,11/09/2018,004,011,016,017,020,023,031,1,1,126,4724,60105,170058,209921663,238467,2000,400,200,([SÃO PAULO][SP]),485778200,50000000,000,Não,Não
,50,SÃO PAULO SP,13/09/2018,014,016,017,018,022,023,031,9,0,93,3271,47806,231428,000,225200,2000,400,200,(),396042400,100000000,48868451,Sim,Não
,51,SERRA NEGRA SP,15/09/2018,002,008,010,014,016,024,028,9,6,215,6144,58228,249914,16439802,141728,2000,400,200,([LAURO DE FREITAS][BA][JACIARA][MT][RIO DE JANEIRO][RJ][LIBERATO SALZANO][RS][PORTO ALEGRE][RS][Sorocaba][SP]),431689200,50000000,000,Não,Não
,52,SÃO PAULO SP,18/09/2018,007,012,014,020,022,024,026,9,1,107,4099,51005,246074,48593723,194635,2000,400,200,([RIO DE JANEIRO][RJ]),408278200,40000000,000,Não,Não
,53,SÃO PAULO SP,20/09/2018,003,007,016,018,019,025,030,4,0,176,5595,61556,148769,000,165904,2000,400,200,(),375777000,100000000,47691909,Sim,Não
,54,OLIVEIRA MG,22/09/2018,004,011,018,021,024,025,027,8,0,90,3771,50833,181882,000,277068,2000,400,200,(),422141200,150000000,105876260,Sim,Não
,55,SÃO PAULO SP,25/09/2018,001,008,016,018,022,025,028,10,0,97,4098,53228,245526,000,264063,2000,400,200,(),462670600,210000000,165642529,Sim,Não
,56,SÃO PAULO SP,27/09/2018,009,010,015,016,017,023,031,12,1,157,5413,68661,179576,231395925,179491,2000,400,200,([CAMPO DOS GOYTACAZES][RJ]),480737400,50000000,000,Não,Não
,57,PALMAS PR,29/09/2018,003,005,010,012,018,026,028,10,1,144,4728,54343,191566,44880085,133572,2000,400,200,([BRASÍLIA][DF]),371628800,45000000,000,Não,Não
,58,SÃO PAULO SP,02/10/2018,011,012,013,024,025,029,030,8,2,117,4195,48596,166361,27002903,197823,2000,400,200,([COROMANDEL][MG][MACAÉ][RJ]),395200400,45000000,000,Não,Não
,59,SÃO PAULO SP,04/10/2018,003,004,005,008,010,024,025,10,1,129,3969,51860,213983,46652116,154990,2000,400,200,([CONCÓRDIA][SC]),384520800,45000000,000,Não,Não
,60,ITAPIRANGA SC,06/10/2018,001,006,007,008,017,018,022,10,0,88,3117,45578,218293,000,233754,2000,400,200,(),383115200,100000000,47997403,Sim,Não
,61,SÃO PAULO SP,09/10/2018,005,008,010,013,019,025,028,4,2,292,7063,69420,162227,49636326,107510,2000,400,200,([Curitiba][PR][JANDIRA][SP]),412885200,50000000,000,Não,Não
,62,SÃO PAULO SP,11/10/2018,007,011,013,018,023,028,030,12,0,121,4537,56821,140493,000,183059,2000,400,200,(),381500000,90000000,51683488,Sim,Não
,63,JOAÇABA SC,13/10/2018,002,003,006,009,027,028,029,8,1,68,2763,36498,115552,88719050,233418,2000,400,200,([SANTA FÉ DO ARAGUAIA][TO]),274095400,30000000,000,Não,Não
,64,SÃO PAULO SP,16/10/2018,005,006,008,017,018,020,027,1,1,87,3517,49310,122543,52414440,258200,2000,400,200,([SÃO PAULO][SP]),365023000,50000000,000,Não,Não
,65,SÃO PAULO SP,18/10/2018,007,020,021,027,028,030,031,2,0,82,3352,45854,144211,000,260275,2000,400,200,(),358757800,100000000,49799251,Sim,Não
,66,SANTA HELENA DE GOIÁS GO,20/10/2018,004,006,010,011,012,017,024,9,0,199,5635,62316,232697,000,144262,2000,400,200,(),411610000,150000000,96689397,Sim,Não
,67,JEQUIÉ BA,23/10/2018,001,004,008,014,019,022,026,10,3,191,5225,55368,258635,49232026,163500,2000,400,200,([BRASÍLIA][DF][VITORIA DE SANTO ANTÃO][PE][SÃO VICENTE][SP]),434654200,50000000,000,Não,Não
,68,JEQUIÉ BA,25/10/2018,001,004,006,014,020,021,027,1,0,86,2753,37359,113977,000,259457,2000,400,200,(),344870400,90000000,52064380,Sim,Não
,69,JEQUIÉ BA,27/10/2018,001,003,005,006,008,026,029,7,0,117,4277,52494,127139,000,213745,2000,400,200,(),401542600,150000000,110416730,Sim,Não
,70,ARAPIRACA AL,30/10/2018,002,004,005,009,011,028,029,12,2,141,4956,63047,177558,87190125,194418,2000,400,200,([BRASÍLIA][DF][SANTA HELENA DE GOIÁS][GO]),464091200,45000000,000,Não,Não
,71,ARAPIRACA AL,01/11/2018,004,006,007,008,024,027,031,9,0,132,4731,57062,215074,000,149817,2000,400,200,(),390946600,100000000,46143760,Sim,Não
,72,ARAPIRACA AL,03/11/2018,001,002,006,008,009,018,021,4,1,66,2687,35700,117886,88550944,275371,2000,400,200,([BELO HORIZONTE][MG]),299374000,40000000,000,Não,Não
,73,SÃO PAULO SP,06/11/2018,008,009,010,011,014,018,023,8,1,112,3758,47840,163845,51606826,197475,2000,400,200,([GUARULHOS][SP]),380031800,50000000,000,Não,Não
,74,SÃO PAULO SP,08/11/2018,006,012,015,017,020,023,029,6,6,475,5363,53734,121852,8856310,68491,2000,400,200,([MORRO CABEÇA NO TEMPO][PI][RIO DE JANEIRO][RJ][IRACEMAPÓLIS][SP][SÃO PAULO][SP]),380709000,50000000,000,Não,Não
,75,MANHUMIRIM MG,10/11/2018,002,003,006,014,028,030,031,1,0,135,4086,48891,123949,000,163000,2000,400,200,(),362875800,100000000,51345066,Sim,Não
,76,SÃO PAULO SP,13/11/2018,010,015,016,021,025,026,029,10,1,67,3059,43408,220730,108163658,363445,2000,400,200,([CANDEIAS][BA]),423498400,50000000,000,Não,Não
,77,NAZARÉ PAULISTA SP,17/11/2018,006,007,011,012,014,019,021,9,1,122,4796,58593,238370,50550651,177579,2000,400,200,([CURITIBA][PR]),424154200,50000000,000,Não,Não
,78,SÃO PAULO SP,20/11/2018,004,006,008,013,014,019,023,10,0,99,3503,44290,157153,000,157947,2000,400,200,(),301304400,100000000,36485738,Sim,Não
,79,SÃO PAULO SP,22/11/2018,001,008,010,012,015,021,028,9,0,108,3959,49131,211026,000,186920,2000,400,200,(),382718600,130000000,83589516,Sim,Não
,80,CAMPOS BELOS GO,24/11/2018,002,003,004,010,018,019,028,6,1,108,3551,50667,118659,138342253,217273,2000,400,200,([RESENDE][RJ]),375648400,45000000,000,Não,Não
,81,SÃO PAULO SP,27/11/2018,006,010,012,025,026,027,029,2,0,68,3431,44661,128431,000,285779,2000,400,200,(),329764400,85000000,45343568,Sim,Não
,82,SÃO PAULO SP,29/11/2018,002,009,010,013,016,017,022,4,1,127,4260,52495,151072,94393946,165525,2000,400,200,([CORDEIRÓPOLIS][SP]),368714800,50000000,000,Não,Não
,83,CURITIBA PR,01/12/2018,002,009,010,013,015,021,026,5,0,93,3518,44887,136136,000,219788,2000,400,200,(),344994400,90000000,47693950,Sim,Não
,84,SÃO PAULO SP,04/12/2018,007,010,015,016,018,019,024,5,0,84,4092,56292,139533,000,270339,2000,400,200,(),384650000,150000000,100680397,Sim,Não
,85,SÃO PAULO SP,06/12/2018,003,007,021,022,023,026,031,6,1,78,3316,47769,139102,164341108,349784,2000,400,200,([Eunápolis][BA]),423259200,40000000,000,Não,Não
,86,SANTO ANASTÁCIO SP,08/12/2018,003,006,008,009,011,019,026,2,1,90,3766,47062,129440,44217703,210560,2000,400,200,([Ribeirão Preto][SP]),328690600,40000000,000,Não,Não
,87,SÃO PAULO SP,11/12/2018,007,009,010,015,018,021,022,1,0,102,3827,48330,120420,000,198320,2000,400,200,(),340022000,100000000,47200275,Sim,Não
,88,SÃO PAULO SP,13/12/2018,003,004,017,018,019,023,027,5,1,155,4761,57503,137562,97711781,139663,2000,400,200,([BRASÍLIA][DF]),376293000,45000000,000,Não,Não
,89,CRICIÚMA SC,15/12/2018,003,006,016,018,019,024,031,7,1,93,3469,44834,100289,46602251,214757,2000,400,200,([SÃO PAULO][SP]),323041200,35000000,000,Não,Não
,90,SÃO PAULO SP,18/12/2018,001,005,006,008,012,023,026,5,2,85,4056,43403,114964,21558865,217400,2000,400,200,([CARANDAÍ][MG][SÃO BERNARDO DO CAMPO][SP]),314795000,40000000,000,Não,Não
,91,SÃO PAULO SP,20/12/2018,008,010,015,016,023,028,029,4,0,104,3614,43915,121942,000,166744,2000,400,200,(),303950200,80000000,40463134,Sim,Não
,92,CONSELHEIRO PENA MG,22/12/2018,005,007,008,009,015,026,029,12,0,77,3562,48140,161074,000,239948,2000,400,200,(),338126800,130000000,83573694,Sim,Não
,93,SÃO PAULO SP,27/12/2018,001,008,009,016,021,023,030,8,1,101,3466,47521,171202,140795501,242808,2000,400,200,([RIO DE JANEIRO][RJ]),408219000,40000000,000,Não,Não
,94,PALMITOS SC,29/12/2018,007,010,013,015,019,023,026,9,1,189,4795,49480,161479,30298962,98150,2000,400,200,([GURUPI][TO]),284923800,40000000,000,Não,Não
,95,SÃO PAULO SP,03/01/2019,005,007,008,018,020,023,028,7,1,93,4120,52558,106266,49472965,227986,2000,400,200,([RIO DE JANEIRO][RJ]),349444400,40000000,000,Não,Não
,96,CAIBI SC,05/01/2019,003,004,009,015,017,028,029,5,4,161,4691,49225,119402,10198146,155124,2000,400,200,([VERA CRUZ][BA][IACIARA][GO][PRIMEIRO DE MAIO][PR]),314198000,40000000,000,Não,Não
,97,SÃO PAULO SP,08/01/2019,001,010,012,022,023,025,028,11,0,58,2701,38939,127223,000,333296,2000,400,200,(),319440800,85000000,45106013,Sim,Não
,98,SÃO PAULO SP,10/01/2019,001,003,007,012,026,027,028,9,0,67,3505,47875,195495,000,272188,2000,400,200,(),350870800,130000000,87658086,Sim,Não
,99,SÃO PAULO SP,12/01/2019,004,014,020,027,028,029,030,3,0,70,2925,41428,171730,000,324300,2000,400,200,(),380322800,185000000,140627084,Sim,Não
,100,SÃO PAULO SP,15/01/2019,003,004,008,015,016,020,021,5,0,120,4246,54218,163378,000,206822,2000,400,200,(),417628600,250000000,198537339,Sim,Não
,101,SÃO PAULO SP,17/01/2019,004,005,009,013,019,020,029,12,0,123,4484,59008,163139,000,217900,2000,400,200,(),444819200,320000000,261074531,Sim,Não
,102,PIRATUBA SC,19/01/2019,004,007,010,019,022,026,028,5,4,312,7242,73447,182179,81065170,123991,2000,400,200,([SALVADOR][BA][VILHENA][RO][SÃO PAULO][SP][PALMAS][TO]),482706800,45000000,000,Não,Não
,103,SÃO PAULO SP,22/01/2019,004,005,019,023,025,026,031,1,0,59,2615,37379,133591,000,313638,2000,400,200,(),311463400,80000000,43177497,Sim,Não
,104,SÃO PAULO SP,24/01/2019,003,013,020,025,026,027,030,12,0,65,2462,36285,117413,000,317816,2000,400,200,(),325938600,130000000,91379501,Sim,Não
,105,QUIRINÓPOLIS GO,26/01/2019,003,007,008,012,021,024,029,8,1,158,4836,53746,149062,136063787,173150,2000,400,200,([EXTREMA][MG]),351044400,40000000,000,Não,Não
